"Read Details","Batafsil ma'lumot",module,Magento_AdminNotification
"Mark as Read","O'qilgan deb belgilash",module,Magento_AdminNotification
"Are you sure?","Ishonchingiz komilmi?",module,Magento_AdminNotification
Remove,O'chirish,module,Magento_AdminNotification
"Messages Inbox","Kirish xabarlari qutisi",module,Magento_AdminNotification
"You have %1 new system messages","Sizda %1 ta yangi tizim xabarlari mavjud",module,Magento_AdminNotification
"You have %1 new system message","Sizda %1 ta yangi tizim xabarlari mavjud",module,Magento_AdminNotification
"Incoming Message","Kiruvchi xabar",module,Magento_AdminNotification
close,yopish,module,Magento_AdminNotification
Notifications,Bildirishnomalar,module,Magento_AdminNotification
"The message has been marked as Read.","Xabar o'qilgan deb belgilandi.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Bildirishnomani xatolik tufayli o'qib bo'lmadi.",module,Magento_AdminNotification
"Please select messages.","Xabarlarni tanlang.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Jami %1 yozuv(lar) o'qilgan deb belgilandi.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Jami %1 yozuv(lar) olib tashlandi.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Xatolar tufayli xabarlarni olib tashlab bo'lmadi.",module,Magento_AdminNotification
"The message has been removed.","Xabar o'chirildi.",module,Magento_AdminNotification
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Siz so'nggi tizim xabarlarini ko'rib chiqdingiz va hal qildingiz. Iltimos bildirishnomani o'chirish uchun veb-sahifani yangilang.",module,Magento_AdminNotification
"1 Hour","1 Soat",module,Magento_AdminNotification
"2 Hours","2 Soat",module,Magento_AdminNotification
"6 Hours","6 Soat",module,Magento_AdminNotification
"12 Hours","12 Soat",module,Magento_AdminNotification
"24 Hours","24 Soat",module,Magento_AdminNotification
critical,"juda muhim",module,Magento_AdminNotification
major,katta,module,Magento_AdminNotification
minor,kichik,module,Magento_AdminNotification
notice,ogohlantirish,module,Magento_AdminNotification
"Wrong message type","Noto'g'ri xabar turi",module,Magento_AdminNotification
"Wrong notification ID specified.","Noto'g'ri bildirishnoma identifikatori ko'rsatildi.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} - ishlab chiqarish muhitida foydalanishga tavsiya etilmaydi. Ushbu qiymatni Magento <a href=""%1"">configuration</a> da o'zgartirishni tavsiya etamiz.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1. ","Bir yoki bir nechta kesh turlari bekor qilindi: %1. ",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Iltimos, <a href=""%1""> keshni boshqarish </a> ga o'ting va kesh turlarini yangilang.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Bir yoki bir nechta media fayllarni sinxronlash imkoniga ega emasmiz. Ma'lumotlar uchun jurnal fayliga murojaat qiling.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Ombor omborlarini sinxronlash tugallandi.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Veb-serveringiz noto'g'ri konfiguratsiya qilingan va maxfiy fayllarga ruxsatsiz kirishga ruxsat beradi. Xost provayderingizga murojaat qiling.",module,Magento_AdminNotification
"System Messages:","Tizim xabarlari:",module,Magento_AdminNotification
"Critical System Messages","Muhim tizim xabarlari",module,Magento_AdminNotification
"Major System Messages","Asosiy tizim xabarlari",module,Magento_AdminNotification
"System messages","Tizim xabarlari",module,Magento_AdminNotification
Close,Yoping,module,Magento_AdminNotification
"See All (","Hammaga qarang (",module,Magento_AdminNotification
" unread)"," o'qilmagan)",module,Magento_AdminNotification
"Please correct the data sent.","Iltimos, yuborilgan ma'lumotlarni to'g'rilang.",module,Magento_AdvancedPricingImportExport
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Ob'ekt turi namunasi bo'lishi kerak \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType",module,Magento_AdvancedPricingImportExport
"There are no product types available for export","Eksport uchun mavjud mahsulot turlari yo'q",module,Magento_AdvancedPricingImportExport
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Ruxsat etilgan resurslar ro'yxatini tuzayotganda, biror narsa noto'g'ri ketdi. Istisno jurnalida ko'proq ma'lumot olishingiz mumkin.",module,Magento_Authorization
"You created the order.","Buyurtmani yaratdingiz.",module,Magento_Authorizenet
"Order saving error: %1","Buyurtmani saqlash xatosi: %1",module,Magento_Authorizenet
"Please choose a payment method.","Iltimos, to'lov usulini tanlang.",module,Magento_Authorizenet
"Credit Card: xxxx-%1","Kredit kartasi: xxxx-%1",module,Magento_Authorizenet
"amount %1","%1 miqdori",module,Magento_Authorizenet
failed.,xatolik.,module,Magento_Authorizenet
successful.,muvaffaqiyatli.,module,Magento_Authorizenet
"Authorize.Net Transaction ID %1.","Authorize.Net operatsiyalari ID %1.",module,Magento_Authorizenet
authorize,avtorizatsiya,module,Magento_Authorizenet
"authorize and capture","avtorizatsiyalash va ro'yxatga olish",module,Magento_Authorizenet
capture,"ro'yxatga olish",module,Magento_Authorizenet
refund,"qaytarib berish",module,Magento_Authorizenet
void,"bekor qilindi",module,Magento_Authorizenet
"Gateway error: %1","Gateway xatosi: %1",module,Magento_Authorizenet
"Something went wrong in the payment gateway.","To'lov daftarida xatolik yuz berdi.",module,Magento_Authorizenet
"Invalid amount for capture.","Yozuv hajmi noto'g'ri.",module,Magento_Authorizenet
"Payment capturing error.","To'lovni ro'yxatga olishda xatolik yuz berdi.",module,Magento_Authorizenet
"Invalid transaction ID.","ID raqami noto'g'ri.",module,Magento_Authorizenet
"Payment voiding error.","To'lovni bekor qilishda xatolik yuz berdi.",module,Magento_Authorizenet
"Invalid amount for refund.","Qaytariladigan pul miqdori noto'g'ri.",module,Magento_Authorizenet
"Payment refunding error.","To'lovni qaytarishda xatolik.",module,Magento_Authorizenet
"The transaction was declined because the response hash validation failed.","Jarayon rad etildi, chunki hash tekshiruvi muvaffaqiyatsiz tugadi.",module,Magento_Authorizenet
"There was a payment authorization error.","To'lovni tasdiqlashda xatolik yuz berdi.",module,Magento_Authorizenet
"Please enter a transaction ID to authorize this payment.","Ushbu to'lovni tasdiqlash uchun tranzaksiyaga oid IDni kiriting.",module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","%1 bitim tasdiqlandi. Miqdori %2. Jurnal holati ""%3""",module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","%1 tranzaktsiyasi bekor qilindi / rad etildi. Jurnal holati ""%2"" dir. Miqdori %3.",module,Magento_Authorizenet
"Authorize Only","Faqat avtorizatsiya qiling",module,Magento_Authorizenet
"Authorize and Capture","Avtorizatsiyalash va Ro'yxatga olish",module,Magento_Authorizenet
"Credit Card Type","Kredit kartasi turi",module,Magento_Authorizenet
"Credit Card Number","Kredit karta raqami",module,Magento_Authorizenet
"Expiration Date","Amal qilish muddati",module,Magento_Authorizenet
"Card Verification Number","Karta tasdiqlash kodi",module,Magento_Authorizenet
"Fraud Detection ","Firibgarlikni aniqlash ",module,Magento_Authorizenet
"FDS Filter Action","Filtrni bajarish FDS",module,Magento_Authorizenet
"AVS Response","AVS javob",module,Magento_Authorizenet
"Card Code Response","Karta kodi bo'yicha javob",module,Magento_Authorizenet
"CAVV Response","CAVV javob",module,Magento_Authorizenet
"Fraud Filters","Firibgarlik filtrlari",module,Magento_Authorizenet
"Invalid Form Key. Please refresh the page.","Kalit shakli yaroqsiz. Iltimos, sahifani yangilang.",module,Magento_Backend
"You entered an invalid Secret Key. Please refresh the page.","Siz noto'g'ri kalitni kiritdingiz. Iltimos, sahifani yangilang.",module,Magento_Backend
"Cache Storage Management","Kesh saqlash boshqaruvi",module,Magento_Backend
"Flush Magento Cache","Magentoni keshini tozalang",module,Magento_Backend
"The cache storage may contain additional data. Are you sure that you want to flush it?","Kesh xotirasida qo'shimcha ma'lumotlar bo'lishi mumkin. Uni tozalashni xohlayotganingizga ishonchingiz komilmi?",module,Magento_Backend
"Flush Cache Storage","Keshni saqlash joyini tozalash",module,Magento_Backend
Invalidated,Noto'g'ri,module,Magento_Backend
Orders,Buyurtmalar,module,Magento_Backend
Amounts,Miqdor,module,Magento_Backend
Bestsellers,"Eng ko'p sotilganlar",module,Magento_Backend
"Most Viewed Products","Eng ko'p ko'rilgan mahsulotlar",module,Magento_Backend
"New Customers","Yangi mijozlar",module,Magento_Backend
Customers,Xaridorlar,module,Magento_Backend
Customer,Xaridor,module,Magento_Backend
Guest,Mehmon,module,Magento_Backend
Items,Mahsulotlar,module,Magento_Backend
Total,Jami,module,Magento_Backend
"Lifetime Sales","Jami savdo",module,Magento_Backend
"Average Order","O'rtacha Buyurtma",module,Magento_Backend
Average,O'rtacha,module,Magento_Backend
Product,Mahsulot,module,Magento_Backend
Price,Narx,module,Magento_Backend
Quantity,Miqdor,module,Magento_Backend
Views,Ko‘rishlar,module,Magento_Backend
Revenue,Daromad,module,Magento_Backend
Tax,Soliq,module,Magento_Backend
Shipping,"Yetkazib berish",module,Magento_Backend
"Images (.gif, .jpg, .png)","Rasmlar (.gif, .jpg, .png)",module,Magento_Backend
"All Files","Barcha fayllar",module,Magento_Backend
"Reset to Default","Standart holatga qaytarish",module,Magento_Backend
"All Store Views","Barcha do'konlarga tashriflar",module,Magento_Backend
"What is this?","Bu nima?",module,Magento_Backend
"Save Account","Profilni saqlash",module,Magento_Backend
"My Account","Mening profilim",module,Magento_Backend
"Account Information","Profil ma'lumotlari",module,Magento_Backend
"User Name","Foydalanuvchi nomi",module,Magento_Backend
"First Name",Ism,module,Magento_Backend
"Last Name",Familiya,module,Magento_Backend
"User Email","Foydalanuvchi email",module,Magento_Backend
"New Password","Yangi Parol",module,Magento_Backend
"Password Confirmation","Parolni tasdiqlash",module,Magento_Backend
"Interface Locale","Interfeys tili",module,Magento_Backend
"Current User Identity Verification","Joriy foydalanuvchi identifikatorini tasdiqlash",module,Magento_Backend
"Your Password",Parolingiz,module,Magento_Backend
"Save Cache Settings","Keshni saqlash",module,Magento_Backend
"Catalog Rewrites","Katalogni qayta nomlash",module,Magento_Backend
Refresh,Yangilash,module,Magento_Backend
"Images Cache","Rasm keshi",module,Magento_Backend
Clear,Tozalash,module,Magento_Backend
"Search Index","Qidiruv indeksi",module,Magento_Backend
Rebuild,"Qayta qurish",module,Magento_Backend
"Inventory Stock Status","Omborni inventarizatsiya qilish",module,Magento_Backend
"Rebuild Catalog Index","Katalog indeksini qayta yarating",module,Magento_Backend
"Rebuild Flat Catalog Category","Katalogni qayta yaratish",module,Magento_Backend
"Rebuild Flat Catalog Product","Mahsulot katalogni qayta yaratish",module,Magento_Backend
"Cache Control","Keshni boshqarish",module,Magento_Backend
"All Cache","Barcha keshlar",module,Magento_Backend
"No change",O'zgarishsiz,module,Magento_Backend
Disable,O'chirish,module,Magento_Backend
Enable,Yoqish,module,Magento_Backend
"Add Design Change","Dizaynni o'zgartiring",module,Magento_Backend
Back,Orqaga,module,Magento_Backend
Delete,O‘chirish,module,Magento_Backend
"Are you sure?","Ishonchingiz komilmi?",module,Magento_Backend
Save,Saqlash,module,Magento_Backend
"Edit Design Change","Dizaynni o'zgartirishni tahrirlash",module,Magento_Backend
"New Store Design Change","Yangi do'kon dizayni o'zgarishi",module,Magento_Backend
"General Settings","Umumiy sozlamalar",module,Magento_Backend
Store,Do'kon,module,Magento_Backend
"-- Please Select --","-- Iltimos tanlang --",module,Magento_Backend
"Custom Design","Maxsus dizayn",module,Magento_Backend
"Date From","Sanadan boshlab",module,Magento_Backend
"Date To","Sana bo'yicha",module,Magento_Backend
"Design Change","Dizayn o'zgarishi",module,Magento_Backend
General,Asosiy,module,Magento_Backend
Cancel,"Bekor qilish",module,Magento_Backend
"Delete %1 '%2'","%1 '%2' o'chirib tashlash",module,Magento_Backend
"Delete %1","%1 o'chirib tashlash",module,Magento_Backend
"Block Information","Bloklash ma'lumoti",module,Magento_Backend
"Backup Options","Zahira parametrlari",module,Magento_Backend
No,Yo'q,module,Magento_Backend
Yes,Ha,module,Magento_Backend
"Create DB Backup","Ma'lumotlar bazasini zaxiralash",module,Magento_Backend
"Delete Store","Do'konni o'chirish",module,Magento_Backend
"Delete Web Site","Veb-saytni o'chirish",module,Magento_Backend
"Save Web Site","Veb-saytni saqlash",module,Magento_Backend
"Save Store","Do'konni saqlash",module,Magento_Backend
"Save Store View","Do'konni ko'rinishini saqlash",module,Magento_Backend
"Delete Store View","Do'konni ko'rinishini o'chirish",module,Magento_Backend
"Edit Web Site","Veb-saytni tahrirlash",module,Magento_Backend
"New Web Site","Yangi veb-sayt",module,Magento_Backend
"Edit Store","Do'konni tahrirlash",module,Magento_Backend
"New Store","Yangi do'kon",module,Magento_Backend
"Edit Store View","Do'konni ko'rinishini tahrirlash",module,Magento_Backend
"New Store View","Do'konning yangi ko'rinishi",module,Magento_Backend
"Store Information","Do'kon haqida ma'lumot",module,Magento_Backend
"Web Site",Veb-sayt,module,Magento_Backend
Name,Ism,module,Magento_Backend
"Root Category","Asosiy kategoriya",module,Magento_Backend
